date,category,lesson,root_cause,fix_or_workaround,memory_ref
2026-05-26,code,paper_trade_v19_6.py 覆盖 production picks_today.json,shadow file write 到主 production cache 路径 → daily_check shadow run 后 production picks 被覆盖,改用独立 PICKS_PATH = data_cache/picks_today_v19_6.json,examples/paper_trade_v19_6.py
2026-05-27,code,dashboard mtime 比对 时钟回拨卡死,HTML mtime 在未来时间 → mtime 比对永不 trigger hot-render → dashboard 一直 serve stale HTML,加 3 fallback (5m staleness + future tolerance + 现有 data file diff),examples/dashboard_submit_server.py _maybe_hot_render
2026-05-25,code,portfolio_state.json holdings 是 list 不是 dict,poll_5m_picks 假设 dict → 解析失败 0 holdings → 影响 5m 范围,加 isinstance 检查同时支持 list[str] / list[dict] / dict,examples/poll_5m_picks.py load_holding_syms
2026-05-25,code,openpyxl ws.cell(r,c,value=None) bug,value=None 作为第 3 arg 不会清除 cell 内容; 必须 .value = None 显式赋值,显式 ws.cell(r,c).value = None,examples/portfolio_excel.py
2026-05-25,code,bash $? captures tee 不是 python exit code,sanity check FAIL 时 tee 成功 → $? = 0 → daily_check 误判 PASS 继续执行 (不阻塞),set -o pipefail 让 pipeline 任一步 fail 都向上传 exit code,examples/daily_check.sh
2026-05-27,market,5m intraday A 路线违反 OOS 协议,改 intraday 调仓等于换策略 (sidecar/model 全是日级) → 需重做 12 月 5m OOS 验证 才能上 production,B 路线 5m execution overlay 不动选股 (audit 入场点) / C 路线 5m features 加 model 需 5+ 年历史 (mootdx 只 2 年),feedback_strict_oos_backtest
2026-05-25,market,交易摩擦放大 intraday 多次换手吃光收益,Phase 1 trading_costs 实测 round-trip ~0.20%/100k (SH stamp duty 0.05% + commission 0.025% + 5bp slip); intraday 4 次换手 = 0.8% drag/天 = 16%/月 = 200%+/年,production 锁 daily 换手 N_DROP=2 K=8 (慢周转),src/claude_finance/trading_costs.py / project_trading_costs_pyfolio_alphalens
2026-05-27,api,mootdx EM push2.eastmoney.com sandbox block,29.push2.eastmoney.com 全 RemoteDisconnected → 行业行情等 endpoint 不可用,切申万 SW 数据源 (ak.sw_index_first_info + ak.index_component_sw) 102s 拿 5203 stocks,project_phase_a_industry_adj_ret
2026-05-25,api,akshare push2his.eastmoney 网络阻断 (主接口),全 universe 抓 history 时 EM API ProxyError,fallback 用 mootdx (TDX 6 server pool) + sina hfq.js js code 抓 hfq,project_phase1b_akshare_rebuild
2026-05-26,architecture,backfill 一次性 vs daily incremental,5m fetch 是一次性 backfill 跑 3h 拿 2 年数据,daily 新 bars 不自动入库,Option a: 改 DuckDB view 直接 read shards (auto-pickup); Option b: poller 也写 shards 累积 16 syms; 已 ship 两者,examples/poll_5m_picks.py _persist_bars + db.duckdb view kline_5m
2026-05-27,architecture,dashboard 5m panel stale 是双层原因,(1) JSON 已新但 HTML render 没刷 (mtime bug) / (2) DuckDB view 读老 hive (rebuild lag),(1) 加 3 fallback render trigger; (2) view 切到 read_parquet kline_5m_shards 直接实时反映,examples/dashboard_submit_server.py + db.duckdb view kline_5m
